student_id,year,policy,overall_satisfaction,academic_satisfaction,social_satisfaction,diversity_satisfaction,career_prep_satisfaction
1,2020,Race-Conscious Admissions,2,3,1,4,1
2,2020,Race-Conscious Admissions,3,5,2,4,1
3,2020,Race-Conscious Admissions,2,2,1,3,1
4,2020,Race-Conscious Admissions,3,4,2,2,2
5,2020,Race-Conscious Admissions,3,1,2,4,5
6,2020,Race-Conscious Admissions,3,3,4,4,2
7,2020,Race-Conscious Admissions,4,5,1,3,5
8,2020,Race-Conscious Admissions,3,3,2,4,1
9,2020,Race-Conscious Admissions,3,2,2,3,5
10,2020,Race-Conscious Admissions,3,5,1,4,1
11,2020,Race-Conscious Admissions,2,1,3,4,1
12,2020,Race-Conscious Admissions,3,5,3,2,1
13,2020,Race-Conscious Admissions,3,3,2,3,3
14,2020,Race-Conscious Admissions,2,3,1,3,1
15,2020,Race-Conscious Admissions,5,5,2,4,5
16,2020,Race-Conscious Admissions,2,1,1,5,1
17,2020,Race-Conscious Admissions,5,5,2,4,5
18,2020,Race-Conscious Admissions,2,1,2,1,4
19,2020,Race-Conscious Admissions,3,1,2,4,3
20,2020,Race-Conscious Admissions,2,1,1,4,2
21,2020,Race-Conscious Admissions,2,2,1,3,1
22,2020,Race-Conscious Admissions,2,2,2,2,2
23,2020,Race-Conscious Admissions,2,1,3,2,1
24,2020,Race-Conscious Admissions,2,3,2,5,1
25,2020,Race-Conscious Admissions,3,5,1,4,1
26,2020,Race-Conscious Admissions,3,2,1,4,5
27,2020,Race-Conscious Admissions,3,5,2,5,1
28,2020,Race-Conscious Admissions,2,1,3,4,1
29,2020,Race-Conscious Admissions,3,3,1,3,5
30,2020,Race-Conscious Admissions,3,5,1,3,3
31,2020,Race-Conscious Admissions,1,2,1,3,1
32,2020,Race-Conscious Admissions,3,5,2,5,1
33,2020,Race-Conscious Admissions,1,1,4,3,1
34,2020,Race-Conscious Admissions,4,3,2,5,4
35,2020,Race-Conscious Admissions,3,3,4,4,2
36,2020,Race-Conscious Admissions,3,3,2,4,4
37,2020,Race-Conscious Admissions,1,2,1,3,1
38,2020,Race-Conscious Admissions,3,5,2,2,3
39,2020,Race-Conscious Admissions,3,1,2,5,3
40,2020,Race-Conscious Admissions,3,4,3,3,2
41,2020,Race-Conscious Admissions,3,4,1,3,3
42,2020,Race-Conscious Admissions,3,4,1,5,4
43,2020,Race-Conscious Admissions,1,1,2,2,1
44,2020,Race-Conscious Admissions,2,1,2,4,3
45,2020,Race-Conscious Admissions,2,2,3,2,1
46,2020,Race-Conscious Admissions,4,4,3,4,4
47,2020,Race-Conscious Admissions,4,2,2,5,5
48,2020,Race-Conscious Admissions,2,1,1,3,3
49,2020,Race-Conscious Admissions,3,2,4,3,3
50,2020,Race-Conscious Admissions,2,1,2,3,2
51,2020,Race-Conscious Admissions,3,5,2,3,4
52,2020,Race-Conscious Admissions,3,2,3,4,4
53,2020,Race-Conscious Admissions,2,1,2,3,3
54,2020,Race-Conscious Admissions,4,5,1,5,4
55,2020,Race-Conscious Admissions,1,1,1,2,2
56,2020,Race-Conscious Admissions,3,5,1,3,1
57,2020,Race-Conscious Admissions,4,5,3,4,2
58,2020,Race-Conscious Admissions,2,3,1,2,1
59,2020,Race-Conscious Admissions,3,3,1,4,4
60,2020,Race-Conscious Admissions,4,3,2,4,5
61,2020,Race-Conscious Admissions,3,5,1,4,5
62,2020,Race-Conscious Admissions,2,1,1,3,4
63,2020,Race-Conscious Admissions,2,2,1,4,1
64,2020,Race-Conscious Admissions,2,3,1,3,1
65,2020,Race-Conscious Admissions,2,1,4,5,1
66,2020,Race-Conscious Admissions,3,2,2,2,5
67,2020,Race-Conscious Admissions,3,4,2,3,4
68,2020,Race-Conscious Admissions,2,4,1,1,3
69,2020,Race-Conscious Admissions,2,1,2,3,4
70,2020,Race-Conscious Admissions,2,1,1,5,1
71,2020,Race-Conscious Admissions,1,2,2,3,1
72,2020,Race-Conscious Admissions,3,5,2,3,3
73,2020,Race-Conscious Admissions,2,2,3,3,1
74,2020,Race-Conscious Admissions,3,4,2,2,4
75,2020,Race-Conscious Admissions,4,4,1,3,5
76,2020,Race-Conscious Admissions,4,5,4,4,2
77,2020,Race-Conscious Admissions,3,3,3,4,4
78,2020,Race-Conscious Admissions,3,3,2,4,3
79,2020,Race-Conscious Admissions,2,2,1,4,1
80,2020,Race-Conscious Admissions,1,1,1,3,2
81,2020,Race-Conscious Admissions,2,2,2,2,2
82,2020,Race-Conscious Admissions,3,3,2,3,4
83,2020,Race-Conscious Admissions,4,5,2,4,5
84,2020,Race-Conscious Admissions,4,5,4,5,2
85,2020,Race-Conscious Admissions,2,1,2,3,3
86,2020,Race-Conscious Admissions,3,3,2,4,3
87,2020,Race-Conscious Admissions,2,1,2,4,1
88,2020,Race-Conscious Admissions,3,4,1,2,4
89,2020,Race-Conscious Admissions,2,2,1,4,3
90,2020,Race-Conscious Admissions,3,2,2,5,2
91,2020,Race-Conscious Admissions,3,5,3,3,2
92,2020,Race-Conscious Admissions,3,5,2,4,2
93,2020,Race-Conscious Admissions,3,4,3,3,1
94,2020,Race-Conscious Admissions,3,3,4,2,2
95,2020,Race-Conscious Admissions,2,2,2,3,1
96,2020,Race-Conscious Admissions,3,3,1,5,2
97,2020,Race-Conscious Admissions,3,5,1,2,1
98,2020,Race-Conscious Admissions,3,3,3,3,3
99,2020,Race-Conscious Admissions,3,3,2,4,1
100,2020,Race-Conscious Admissions,3,4,2,4,4
101,2020,Race-Conscious Admissions,3,5,1,2,5
102,2020,Race-Conscious Admissions,2,3,3,3,1
103,2020,Race-Conscious Admissions,4,4,3,3,4
104,2020,Race-Conscious Admissions,2,2,1,3,1
105,2020,Race-Conscious Admissions,4,5,2,5,4
106,2020,Race-Conscious Admissions,1,2,2,2,1
107,2020,Race-Conscious Admissions,4,5,4,4,4
108,2020,Race-Conscious Admissions,3,3,3,4,1
109,2020,Race-Conscious Admissions,3,3,1,4,4
110,2020,Race-Conscious Admissions,2,1,2,4,1
111,2020,Race-Conscious Admissions,2,1,1,2,4
112,2020,Race-Conscious Admissions,3,5,4,3,1
113,2020,Race-Conscious Admissions,2,2,1,5,1
114,2020,Race-Conscious Admissions,3,2,1,4,4
115,2020,Race-Conscious Admissions,2,2,2,3,3
116,2020,Race-Conscious Admissions,2,1,4,4,1
117,2020,Race-Conscious Admissions,2,1,1,4,3
118,2020,Race-Conscious Admissions,2,2,1,3,2
119,2020,Race-Conscious Admissions,2,1,2,3,2
120,2020,Race-Conscious Admissions,3,2,1,3,5
121,2020,Race-Conscious Admissions,3,2,1,4,5
122,2020,Race-Conscious Admissions,3,4,2,4,3
123,2020,Race-Conscious Admissions,3,4,3,4,3
124,2020,Race-Conscious Admissions,2,3,2,4,1
125,2020,Race-Conscious Admissions,4,3,5,4,3
126,2020,Race-Conscious Admissions,3,1,3,5,2
127,2020,Race-Conscious Admissions,2,4,1,4,1
128,2020,Race-Conscious Admissions,2,2,1,3,1
129,2020,Race-Conscious Admissions,3,4,4,2,3
130,2020,Race-Conscious Admissions,2,1,2,3,2
131,2020,Race-Conscious Admissions,3,2,3,3,5
132,2020,Race-Conscious Admissions,2,2,1,4,2
133,2020,Race-Conscious Admissions,1,4,1,1,1
134,2020,Race-Conscious Admissions,2,1,1,3,1
135,2020,Race-Conscious Admissions,4,5,3,5,2
136,2020,Race-Conscious Admissions,2,1,1,3,4
137,2020,Race-Conscious Admissions,3,2,4,4,2
138,2020,Race-Conscious Admissions,4,3,4,5,3
139,2020,Race-Conscious Admissions,3,2,5,4,1
140,2020,Race-Conscious Admissions,2,1,1,4,3
141,2020,Race-Conscious Admissions,2,3,1,2,3
142,2020,Race-Conscious Admissions,4,5,3,2,4
143,2020,Race-Conscious Admissions,2,2,1,3,2
144,2020,Race-Conscious Admissions,4,3,1,4,5
145,2020,Race-Conscious Admissions,3,2,4,3,4
146,2020,Race-Conscious Admissions,4,5,2,4,5
147,2020,Race-Conscious Admissions,3,3,4,3,2
148,2020,Race-Conscious Admissions,2,3,1,3,1
149,2020,Race-Conscious Admissions,3,1,5,3,3
150,2020,Race-Conscious Admissions,2,1,2,2,4
151,2020,Race-Conscious Admissions,2,3,2,3,1
152,2020,Race-Conscious Admissions,3,1,3,4,3
153,2020,Race-Conscious Admissions,3,5,2,3,2
154,2020,Race-Conscious Admissions,3,3,4,4,2
155,2020,Race-Conscious Admissions,4,3,2,4,5
156,2020,Race-Conscious Admissions,3,3,3,5,3
157,2020,Race-Conscious Admissions,3,5,3,5,1
158,2020,Race-Conscious Admissions,3,4,5,2,2
159,2020,Race-Conscious Admissions,1,1,2,4,1
160,2020,Race-Conscious Admissions,2,3,2,3,1
161,2020,Race-Conscious Admissions,2,1,2,3,1
162,2020,Race-Conscious Admissions,2,2,2,3,1
163,2020,Race-Conscious Admissions,2,1,2,3,4
164,2020,Race-Conscious Admissions,3,4,3,3,1
165,2020,Race-Conscious Admissions,3,4,1,4,2
166,2020,Race-Conscious Admissions,4,3,5,4,4
167,2020,Race-Conscious Admissions,4,2,4,5,4
168,2020,Race-Conscious Admissions,3,2,3,3,3
169,2020,Race-Conscious Admissions,2,3,3,2,2
170,2020,Race-Conscious Admissions,3,5,3,5,1
171,2020,Race-Conscious Admissions,2,2,3,3,2
172,2020,Race-Conscious Admissions,3,3,1,4,5
173,2020,Race-Conscious Admissions,3,5,3,3,1
174,2020,Race-Conscious Admissions,3,4,2,4,4
175,2020,Race-Conscious Admissions,3,2,2,5,4
176,2020,Race-Conscious Admissions,3,2,2,5,2
177,2020,Race-Conscious Admissions,3,4,2,4,1
178,2020,Race-Conscious Admissions,3,2,3,2,5
179,2020,Race-Conscious Admissions,3,1,2,4,5
180,2020,Race-Conscious Admissions,3,2,1,4,4
181,2020,Race-Conscious Admissions,1,1,1,3,1
182,2020,Race-Conscious Admissions,4,5,2,2,4
183,2020,Race-Conscious Admissions,2,1,4,3,3
184,2020,Race-Conscious Admissions,3,4,2,3,2
185,2020,Race-Conscious Admissions,3,5,2,4,3
186,2020,Race-Conscious Admissions,5,5,3,3,5
187,2020,Race-Conscious Admissions,2,1,1,5,2
188,2020,Race-Conscious Admissions,3,2,3,2,5
189,2020,Race-Conscious Admissions,3,4,5,5,1
190,2020,Race-Conscious Admissions,2,2,2,2,1
191,2020,Race-Conscious Admissions,4,5,2,2,4
192,2020,Race-Conscious Admissions,3,5,2,3,3
193,2020,Race-Conscious Admissions,2,5,1,2,2
194,2020,Race-Conscious Admissions,3,5,1,4,4
195,2020,Race-Conscious Admissions,3,2,3,3,3
196,2020,Race-Conscious Admissions,2,1,1,5,1
197,2020,Race-Conscious Admissions,3,3,4,3,3
198,2020,Race-Conscious Admissions,2,1,1,3,4
199,2020,Race-Conscious Admissions,3,4,1,3,3
200,2020,Race-Conscious Admissions,4,5,2,2,4
201,2020,Race-Conscious Admissions,1,1,2,1,1
202,2020,Race-Conscious Admissions,3,3,3,3,2
203,2020,Race-Conscious Admissions,3,3,2,3,3
204,2020,Race-Conscious Admissions,3,2,1,4,4
205,2020,Race-Conscious Admissions,1,1,1,2,1
206,2020,Race-Conscious Admissions,5,5,3,5,5
207,2020,Race-Conscious Admissions,2,1,2,4,2
208,2020,Race-Conscious Admissions,4,5,4,3,3
209,2020,Race-Conscious Admissions,3,4,1,3,3
210,2020,Race-Conscious Admissions,3,1,5,4,2
211,2020,Race-Conscious Admissions,1,2,2,3,1
212,2020,Race-Conscious Admissions,3,3,1,4,4
213,2020,Race-Conscious Admissions,3,4,3,3,1
214,2020,Race-Conscious Admissions,1,1,1,2,2
215,2020,Race-Conscious Admissions,3,4,1,3,4
216,2020,Race-Conscious Admissions,1,1,2,1,1
217,2020,Race-Conscious Admissions,3,4,3,4,2
218,2020,Race-Conscious Admissions,2,3,1,2,3
219,2020,Race-Conscious Admissions,2,2,2,3,3
220,2020,Race-Conscious Admissions,2,2,3,4,1
221,2020,Race-Conscious Admissions,3,3,3,3,4
222,2020,Race-Conscious Admissions,5,4,5,3,5
223,2020,Race-Conscious Admissions,3,3,1,4,5
224,2020,Race-Conscious Admissions,3,1,5,3,3
225,2020,Race-Conscious Admissions,2,1,3,2,2
226,2020,Race-Conscious Admissions,3,4,2,5,2
227,2020,Race-Conscious Admissions,3,2,2,4,5
228,2020,Race-Conscious Admissions,2,1,2,4,3
229,2020,Race-Conscious Admissions,4,4,3,4,4
230,2020,Race-Conscious Admissions,3,3,3,4,2
231,2020,Race-Conscious Admissions,3,5,1,4,2
232,2020,Race-Conscious Admissions,3,5,1,3,4
233,2020,Race-Conscious Admissions,3,3,3,2,2
234,2020,Race-Conscious Admissions,4,4,2,4,3
235,2020,Race-Conscious Admissions,2,3,2,3,2
236,2020,Race-Conscious Admissions,2,2,1,2,2
237,2020,Race-Conscious Admissions,3,3,3,3,3
238,2020,Race-Conscious Admissions,4,4,4,4,3
239,2020,Race-Conscious Admissions,2,3,1,2,2
240,2020,Race-Conscious Admissions,2,3,1,4,1
241,2020,Race-Conscious Admissions,2,1,1,4,1
242,2020,Race-Conscious Admissions,3,5,2,2,4
243,2020,Race-Conscious Admissions,4,5,2,3,4
244,2020,Race-Conscious Admissions,3,3,3,3,4
245,2020,Race-Conscious Admissions,4,3,3,3,5
246,2020,Race-Conscious Admissions,2,1,1,4,2
247,2020,Race-Conscious Admissions,3,4,1,4,4
248,2020,Race-Conscious Admissions,2,1,5,5,1
249,2020,Race-Conscious Admissions,3,1,4,2,5
250,2020,Race-Conscious Admissions,4,5,2,4,2
251,2020,Race-Conscious Admissions,4,5,1,5,5
252,2020,Race-Conscious Admissions,2,1,2,3,4
253,2020,Race-Conscious Admissions,2,5,3,4,1
254,2020,Race-Conscious Admissions,3,4,4,5,2
255,2020,Race-Conscious Admissions,2,2,3,3,2
256,2020,Race-Conscious Admissions,2,3,2,3,1
257,2020,Race-Conscious Admissions,2,2,2,4,1
258,2020,Race-Conscious Admissions,3,4,3,4,3
259,2020,Race-Conscious Admissions,3,2,1,4,5
260,2020,Race-Conscious Admissions,3,3,1,5,3
261,2020,Race-Conscious Admissions,2,3,4,2,1
262,2020,Race-Conscious Admissions,3,4,2,2,3
263,2020,Race-Conscious Admissions,3,2,1,5,2
264,2020,Race-Conscious Admissions,3,3,2,5,2
265,2020,Race-Conscious Admissions,3,1,2,4,4
266,2020,Race-Conscious Admissions,2,1,4,3,4
267,2020,Race-Conscious Admissions,4,4,4,3,5
268,2020,Race-Conscious Admissions,3,1,2,4,5
269,2020,Race-Conscious Admissions,2,2,2,3,2
270,2020,Race-Conscious Admissions,3,5,3,2,3
271,2020,Race-Conscious Admissions,4,5,1,5,4
272,2020,Race-Conscious Admissions,4,5,2,2,5
273,2020,Race-Conscious Admissions,4,3,5,4,2
274,2020,Race-Conscious Admissions,4,5,1,3,5
275,2020,Race-Conscious Admissions,3,4,4,4,1
276,2020,Race-Conscious Admissions,4,2,4,5,5
277,2020,Race-Conscious Admissions,3,5,4,2,1
278,2020,Race-Conscious Admissions,3,2,3,3,4
279,2020,Race-Conscious Admissions,3,4,1,4,2
280,2020,Race-Conscious Admissions,3,4,1,4,4
281,2020,Race-Conscious Admissions,2,1,1,3,4
282,2020,Race-Conscious Admissions,3,2,2,3,4
283,2020,Race-Conscious Admissions,3,2,1,3,5
284,2020,Race-Conscious Admissions,1,1,2,1,1
285,2020,Race-Conscious Admissions,4,5,2,4,4
286,2020,Race-Conscious Admissions,3,5,3,2,2
287,2020,Race-Conscious Admissions,3,2,3,4,4
288,2020,Race-Conscious Admissions,5,5,3,3,5
289,2020,Race-Conscious Admissions,3,1,3,4,2
290,2020,Race-Conscious Admissions,2,1,3,3,3
291,2020,Race-Conscious Admissions,2,4,1,2,2
292,2020,Race-Conscious Admissions,2,2,2,3,1
293,2020,Race-Conscious Admissions,3,4,1,3,3
294,2020,Race-Conscious Admissions,3,5,3,3,2
295,2020,Race-Conscious Admissions,3,3,5,2,2
296,2020,Race-Conscious Admissions,3,5,1,4,1
297,2020,Race-Conscious Admissions,2,1,1,4,5
298,2020,Race-Conscious Admissions,3,3,3,3,2
299,2020,Race-Conscious Admissions,3,5,3,5,1
300,2020,Race-Conscious Admissions,2,1,1,4,4
301,2020,Race-Conscious Admissions,3,3,3,3,2
302,2020,Race-Conscious Admissions,3,3,3,4,2
303,2020,Race-Conscious Admissions,4,2,3,5,4
304,2020,Race-Conscious Admissions,3,3,2,5,3
305,2020,Race-Conscious Admissions,4,4,2,3,5
306,2020,Race-Conscious Admissions,3,1,3,3,5
307,2020,Race-Conscious Admissions,3,4,3,4,2
308,2020,Race-Conscious Admissions,2,4,1,2,1
309,2020,Race-Conscious Admissions,3,2,3,3,5
310,2020,Race-Conscious Admissions,2,4,3,2,1
311,2020,Race-Conscious Admissions,2,2,3,1,2
312,2020,Race-Conscious Admissions,3,3,2,4,5
313,2020,Race-Conscious Admissions,3,4,1,4,4
314,2020,Race-Conscious Admissions,4,3,2,4,5
315,2020,Race-Conscious Admissions,3,4,3,3,2
316,2020,Race-Conscious Admissions,1,2,1,2,1
317,2020,Race-Conscious Admissions,4,5,4,5,2
318,2020,Race-Conscious Admissions,2,3,4,2,1
319,2020,Race-Conscious Admissions,3,3,3,4,2
320,2020,Race-Conscious Admissions,4,4,2,4,3
321,2020,Race-Conscious Admissions,3,3,2,5,1
322,2020,Race-Conscious Admissions,3,1,2,5,3
323,2020,Race-Conscious Admissions,1,1,1,3,1
324,2020,Race-Conscious Admissions,2,4,3,2,1
325,2020,Race-Conscious Admissions,4,5,2,5,5
326,2020,Race-Conscious Admissions,3,3,3,4,3
327,2020,Race-Conscious Admissions,3,5,3,2,3
328,2020,Race-Conscious Admissions,2,1,2,4,3
329,2020,Race-Conscious Admissions,2,3,1,3,3
330,2020,Race-Conscious Admissions,1,1,1,3,1
331,2020,Race-Conscious Admissions,4,4,5,4,5
332,2020,Race-Conscious Admissions,3,3,1,4,2
333,2020,Race-Conscious Admissions,4,5,4,4,2
334,2020,Race-Conscious Admissions,3,2,2,4,5
335,2020,Race-Conscious Admissions,2,4,2,4,1
336,2020,Race-Conscious Admissions,3,4,2,3,4
337,2020,Race-Conscious Admissions,4,5,2,3,5
338,2020,Race-Conscious Admissions,4,3,1,5,5
339,2020,Race-Conscious Admissions,3,2,3,2,4
340,2020,Race-Conscious Admissions,3,5,4,3,1
341,2020,Race-Conscious Admissions,5,5,2,4,5
342,2020,Race-Conscious Admissions,2,3,3,3,1
343,2020,Race-Conscious Admissions,3,1,3,4,3
344,2020,Race-Conscious Admissions,3,3,5,3,2
345,2020,Race-Conscious Admissions,2,3,2,2,2
346,2020,Race-Conscious Admissions,4,5,3,3,1
347,2020,Race-Conscious Admissions,3,3,3,3,3
348,2020,Race-Conscious Admissions,4,5,2,4,2
349,2020,Race-Conscious Admissions,3,5,4,4,1
350,2020,Race-Conscious Admissions,1,1,1,3,4
351,2020,Race-Conscious Admissions,3,3,2,3,4
352,2020,Race-Conscious Admissions,2,1,1,3,1
353,2020,Race-Conscious Admissions,2,2,3,3,1
354,2020,Race-Conscious Admissions,3,5,1,5,2
355,2020,Race-Conscious Admissions,3,2,2,4,3
356,2020,Race-Conscious Admissions,1,1,2,2,1
357,2020,Race-Conscious Admissions,2,1,2,1,2
358,2020,Race-Conscious Admissions,3,1,1,4,5
359,2020,Race-Conscious Admissions,3,5,2,4,4
360,2020,Race-Conscious Admissions,3,1,3,4,4
361,2020,Race-Conscious Admissions,3,4,4,4,2
362,2020,Race-Conscious Admissions,4,5,4,3,2
363,2020,Race-Conscious Admissions,2,2,3,2,1
364,2020,Race-Conscious Admissions,2,2,1,4,2
365,2020,Race-Conscious Admissions,2,4,1,3,1
366,2020,Race-Conscious Admissions,4,1,4,4,5
367,2020,Race-Conscious Admissions,2,4,1,3,2
368,2020,Race-Conscious Admissions,3,5,2,3,1
369,2020,Race-Conscious Admissions,3,4,1,5,2
370,2020,Race-Conscious Admissions,2,3,1,3,2
371,2020,Race-Conscious Admissions,3,3,4,5,1
372,2020,Race-Conscious Admissions,3,3,3,5,2
373,2020,Race-Conscious Admissions,2,3,1,3,1
374,2020,Race-Conscious Admissions,3,2,2,4,2
375,2020,Race-Conscious Admissions,2,5,3,2,1
376,2020,Race-Conscious Admissions,2,1,3,3,2
377,2020,Race-Conscious Admissions,2,2,2,4,1
378,2020,Race-Conscious Admissions,2,5,2,3,1
379,2020,Race-Conscious Admissions,3,4,3,4,1
380,2020,Race-Conscious Admissions,3,5,2,3,4
381,2020,Race-Conscious Admissions,2,3,2,4,1
382,2020,Race-Conscious Admissions,2,1,1,2,5
383,2020,Race-Conscious Admissions,3,3,2,4,1
384,2020,Race-Conscious Admissions,2,1,1,4,3
385,2020,Race-Conscious Admissions,2,3,1,3,2
386,2020,Race-Conscious Admissions,2,3,1,5,1
387,2020,Race-Conscious Admissions,3,5,2,3,1
388,2020,Race-Conscious Admissions,4,5,1,3,3
389,2020,Race-Conscious Admissions,4,5,1,4,4
390,2020,Race-Conscious Admissions,4,5,4,2,2
391,2020,Race-Conscious Admissions,3,2,2,4,3
392,2020,Race-Conscious Admissions,2,2,2,3,1
393,2020,Race-Conscious Admissions,2,3,1,4,2
394,2020,Race-Conscious Admissions,2,2,4,2,2
395,2020,Race-Conscious Admissions,4,5,4,4,3
396,2020,Race-Conscious Admissions,2,3,2,3,1
397,2020,Race-Conscious Admissions,4,5,3,5,3
398,2020,Race-Conscious Admissions,3,1,3,4,2
399,2020,Race-Conscious Admissions,3,3,4,5,1
400,2020,Race-Conscious Admissions,3,4,4,3,2
401,2020,Race-Conscious Admissions,3,2,4,5,3
402,2020,Race-Conscious Admissions,4,3,3,4,5
403,2020,Race-Conscious Admissions,4,5,3,3,5
404,2020,Race-Conscious Admissions,2,1,2,4,2
405,2020,Race-Conscious Admissions,2,3,2,5,1
406,2020,Race-Conscious Admissions,3,3,1,4,5
407,2020,Race-Conscious Admissions,3,2,3,4,4
408,2020,Race-Conscious Admissions,3,2,3,4,4
409,2020,Race-Conscious Admissions,2,1,3,2,3
410,2020,Race-Conscious Admissions,2,3,1,3,2
411,2020,Race-Conscious Admissions,3,4,1,3,5
412,2020,Race-Conscious Admissions,3,5,2,5,1
413,2020,Race-Conscious Admissions,3,1,2,5,4
414,2020,Race-Conscious Admissions,2,1,2,4,2
415,2020,Race-Conscious Admissions,2,1,2,4,2
416,2020,Race-Conscious Admissions,2,2,2,4,1
417,2020,Race-Conscious Admissions,2,5,2,3,1
418,2020,Race-Conscious Admissions,4,4,4,5,2
419,2020,Race-Conscious Admissions,2,3,1,5,2
420,2020,Race-Conscious Admissions,2,1,2,5,2
421,2020,Race-Conscious Admissions,4,5,3,3,3
422,2020,Race-Conscious Admissions,3,3,2,3,3
423,2020,Race-Conscious Admissions,2,1,1,4,2
424,2020,Race-Conscious Admissions,2,1,3,3,2
425,2020,Race-Conscious Admissions,2,2,2,4,1
426,2020,Race-Conscious Admissions,2,2,1,3,3
427,2020,Race-Conscious Admissions,3,5,3,4,1
428,2020,Race-Conscious Admissions,3,3,1,5,4
429,2020,Race-Conscious Admissions,2,3,2,4,1
430,2020,Race-Conscious Admissions,2,1,1,3,3
431,2020,Race-Conscious Admissions,3,3,4,5,1
432,2020,Race-Conscious Admissions,2,3,1,3,4
433,2020,Race-Conscious Admissions,4,4,3,4,4
434,2020,Race-Conscious Admissions,3,1,1,5,3
435,2020,Race-Conscious Admissions,3,3,1,4,5
436,2020,Race-Conscious Admissions,3,4,4,4,1
437,2020,Race-Conscious Admissions,3,3,1,4,3
438,2020,Race-Conscious Admissions,3,5,3,4,1
439,2020,Race-Conscious Admissions,4,3,4,4,5
440,2020,Race-Conscious Admissions,4,2,5,5,3
441,2020,Race-Conscious Admissions,1,1,1,3,2
442,2020,Race-Conscious Admissions,3,1,3,4,4
443,2020,Race-Conscious Admissions,2,1,2,5,2
444,2020,Race-Conscious Admissions,3,5,1,4,1
445,2020,Race-Conscious Admissions,2,2,3,4,1
446,2020,Race-Conscious Admissions,4,2,4,4,5
447,2020,Race-Conscious Admissions,3,2,3,3,5
448,2020,Race-Conscious Admissions,2,1,1,5,3
449,2020,Race-Conscious Admissions,4,5,2,5,3
450,2020,Race-Conscious Admissions,2,2,4,2,1
451,2020,Race-Conscious Admissions,3,3,4,5,1
452,2020,Race-Conscious Admissions,2,2,1,4,1
453,2020,Race-Conscious Admissions,3,3,3,3,4
454,2020,Race-Conscious Admissions,3,4,1,2,4
455,2020,Race-Conscious Admissions,2,2,1,3,2
456,2020,Race-Conscious Admissions,2,3,3,2,1
457,2020,Race-Conscious Admissions,3,3,1,5,4
458,2020,Race-Conscious Admissions,3,2,1,4,5
459,2020,Race-Conscious Admissions,3,4,1,4,4
460,2020,Race-Conscious Admissions,3,3,3,3,2
461,2020,Race-Conscious Admissions,3,4,1,2,5
462,2020,Race-Conscious Admissions,4,4,2,4,5
463,2020,Race-Conscious Admissions,3,4,3,2,3
464,2020,Race-Conscious Admissions,2,3,1,3,3
465,2020,Race-Conscious Admissions,4,5,2,3,2
466,2020,Race-Conscious Admissions,4,5,2,4,3
467,2020,Race-Conscious Admissions,2,3,2,3,2
468,2020,Race-Conscious Admissions,3,3,3,3,3
469,2020,Race-Conscious Admissions,3,4,3,3,2
470,2020,Race-Conscious Admissions,2,2,1,1,4
471,2020,Race-Conscious Admissions,4,5,5,3,1
472,2020,Race-Conscious Admissions,3,1,3,4,4
473,2020,Race-Conscious Admissions,3,4,2,3,1
474,2020,Race-Conscious Admissions,3,5,3,3,1
475,2020,Race-Conscious Admissions,3,5,2,4,2
476,2020,Race-Conscious Admissions,2,1,1,4,3
477,2020,Race-Conscious Admissions,3,1,3,5,1
478,2020,Race-Conscious Admissions,3,3,2,4,4
479,2020,Race-Conscious Admissions,3,5,1,4,2
480,2020,Race-Conscious Admissions,3,5,3,3,1
481,2020,Race-Conscious Admissions,4,3,2,5,5
482,2020,Race-Conscious Admissions,2,4,3,3,1
483,2020,Race-Conscious Admissions,3,5,2,4,2
484,2020,Race-Conscious Admissions,2,1,4,2,4
485,2020,Race-Conscious Admissions,3,1,1,3,5
486,2020,Race-Conscious Admissions,3,3,3,4,1
487,2020,Race-Conscious Admissions,2,1,2,2,3
488,2020,Race-Conscious Admissions,4,2,5,3,4
489,2020,Race-Conscious Admissions,4,3,3,4,5
490,2020,Race-Conscious Admissions,2,1,2,2,5
491,2020,Race-Conscious Admissions,2,2,4,4,1
492,2020,Race-Conscious Admissions,2,1,3,4,2
493,2020,Race-Conscious Admissions,2,2,1,4,3
494,2020,Race-Conscious Admissions,3,4,2,3,3
495,2020,Race-Conscious Admissions,3,3,3,5,1
