student_id,year,policy,demographic,overall_satisfaction,academic_satisfaction,social_satisfaction,diversity_satisfaction,career_prep_satisfaction
1,2024,Merit-Based Admissions,Asian,4,4,5,2,5
2,2024,Merit-Based Admissions,White,4,4,5,4,3
3,2024,Merit-Based Admissions,White,3,3,3,4,2
4,2024,Merit-Based Admissions,Asian,5,5,5,2,5
5,2024,Merit-Based Admissions,Black,2,1,1,1,5
6,2024,Merit-Based Admissions,White,4,5,4,3,4
7,2024,Merit-Based Admissions,Asian,3,4,2,3,4
8,2024,Merit-Based Admissions,Hispanic,3,4,4,2,1
9,2024,Merit-Based Admissions,White,3,2,3,3,3
10,2024,Merit-Based Admissions,Black,3,3,2,4,5
11,2024,Merit-Based Admissions,White,3,2,3,4,1
12,2024,Merit-Based Admissions,White,4,3,4,4,4
13,2024,Merit-Based Admissions,White,4,5,2,3,4
14,2024,Merit-Based Admissions,White,3,2,3,2,5
15,2024,Merit-Based Admissions,White,4,2,5,2,4
16,2024,Merit-Based Admissions,Asian,3,5,4,2,1
17,2024,Merit-Based Admissions,Hispanic,5,5,4,3,5
18,2024,Merit-Based Admissions,White,2,4,2,2,1
19,2024,Merit-Based Admissions,White,4,5,5,3,2
20,2024,Merit-Based Admissions,White,4,5,2,4,5
21,2024,Merit-Based Admissions,Other,3,2,5,2,3
22,2024,Merit-Based Admissions,Asian,4,5,5,1,3
23,2024,Merit-Based Admissions,Asian,4,4,3,2,5
24,2024,Merit-Based Admissions,Hispanic,4,3,3,3,5
25,2024,Merit-Based Admissions,White,3,5,3,3,3
26,2024,Merit-Based Admissions,Asian,4,4,5,2,5
27,2024,Merit-Based Admissions,White,4,5,3,5,4
28,2024,Merit-Based Admissions,Asian,5,5,3,3,5
29,2024,Merit-Based Admissions,White,4,3,5,2,2
30,2024,Merit-Based Admissions,White,3,3,3,4,2
31,2024,Merit-Based Admissions,White,3,2,4,3,3
32,2024,Merit-Based Admissions,Hispanic,4,4,5,3,5
33,2024,Merit-Based Admissions,Asian,3,4,4,3,2
34,2024,Merit-Based Admissions,White,4,4,5,1,5
35,2024,Merit-Based Admissions,White,3,1,3,4,5
36,2024,Merit-Based Admissions,Other,4,2,4,4,5
37,2024,Merit-Based Admissions,Asian,4,5,3,4,3
38,2024,Merit-Based Admissions,White,4,5,5,1,4
39,2024,Merit-Based Admissions,White,3,4,3,3,2
40,2024,Merit-Based Admissions,White,4,4,5,3,2
41,2024,Merit-Based Admissions,Black,5,5,4,2,4
42,2024,Merit-Based Admissions,Asian,5,5,4,3,5
43,2024,Merit-Based Admissions,White,4,4,5,3,5
44,2024,Merit-Based Admissions,Hispanic,5,5,5,5,5
45,2024,Merit-Based Admissions,White,3,4,3,4,2
46,2024,Merit-Based Admissions,White,4,4,4,1,5
47,2024,Merit-Based Admissions,White,2,1,3,3,2
48,2024,Merit-Based Admissions,Asian,3,3,5,1,4
49,2024,Merit-Based Admissions,White,3,3,4,2,3
50,2024,Merit-Based Admissions,Asian,3,3,2,3,2
51,2024,Merit-Based Admissions,Other,4,5,5,5,1
52,2024,Merit-Based Admissions,White,4,3,5,4,4
53,2024,Merit-Based Admissions,Hispanic,4,4,4,5,4
54,2024,Merit-Based Admissions,Other,5,4,5,4,4
55,2024,Merit-Based Admissions,Asian,3,1,5,2,5
56,2024,Merit-Based Admissions,Asian,4,5,4,1,5
57,2024,Merit-Based Admissions,White,2,5,3,2,1
58,2024,Merit-Based Admissions,White,3,2,3,4,2
59,2024,Merit-Based Admissions,Asian,4,4,5,2,4
60,2024,Merit-Based Admissions,White,5,5,5,3,5
61,2024,Merit-Based Admissions,Asian,3,3,5,2,3
62,2024,Merit-Based Admissions,White,3,5,4,3,1
63,2024,Merit-Based Admissions,Hispanic,4,5,4,3,5
64,2024,Merit-Based Admissions,Asian,3,5,4,1,3
65,2024,Merit-Based Admissions,Asian,4,3,4,3,5
66,2024,Merit-Based Admissions,White,5,4,4,3,5
67,2024,Merit-Based Admissions,Black,4,5,3,4,3
68,2024,Merit-Based Admissions,Asian,4,5,1,3,5
69,2024,Merit-Based Admissions,Asian,3,5,3,4,2
70,2024,Merit-Based Admissions,Asian,2,4,2,4,1
71,2024,Merit-Based Admissions,Asian,4,3,5,4,3
72,2024,Merit-Based Admissions,Hispanic,4,5,3,2,5
73,2024,Merit-Based Admissions,White,3,3,3,3,1
74,2024,Merit-Based Admissions,Hispanic,3,3,4,1,3
75,2024,Merit-Based Admissions,White,4,1,2,4,5
76,2024,Merit-Based Admissions,White,3,5,3,2,2
77,2024,Merit-Based Admissions,White,4,3,4,5,4
78,2024,Merit-Based Admissions,White,5,5,5,3,5
79,2024,Merit-Based Admissions,White,3,2,3,3,5
80,2024,Merit-Based Admissions,Asian,4,5,2,4,5
81,2024,Merit-Based Admissions,White,2,3,5,3,1
82,2024,Merit-Based Admissions,White,4,5,4,3,1
83,2024,Merit-Based Admissions,Asian,4,4,3,3,5
84,2024,Merit-Based Admissions,White,2,3,2,3,1
85,2024,Merit-Based Admissions,Asian,4,5,4,3,3
86,2024,Merit-Based Admissions,White,4,2,5,3,5
87,2024,Merit-Based Admissions,White,3,3,4,3,2
88,2024,Merit-Based Admissions,Other,3,5,4,3,1
89,2024,Merit-Based Admissions,White,3,2,3,3,4
90,2024,Merit-Based Admissions,Asian,4,4,5,3,1
91,2024,Merit-Based Admissions,Asian,4,1,5,3,5
92,2024,Merit-Based Admissions,White,3,5,4,4,1
93,2024,Merit-Based Admissions,Asian,3,5,4,2,3
94,2024,Merit-Based Admissions,Hispanic,3,5,4,1,2
95,2024,Merit-Based Admissions,White,2,1,5,2,1
96,2024,Merit-Based Admissions,Asian,3,3,4,4,1
97,2024,Merit-Based Admissions,White,3,5,5,3,1
98,2024,Merit-Based Admissions,White,3,4,5,4,1
99,2024,Merit-Based Admissions,Asian,2,4,4,2,1
100,2024,Merit-Based Admissions,White,3,5,4,3,1
101,2024,Merit-Based Admissions,Black,4,4,5,4,5
102,2024,Merit-Based Admissions,White,3,4,3,2,4
103,2024,Merit-Based Admissions,White,5,3,4,3,5
104,2024,Merit-Based Admissions,Asian,4,5,5,1,3
105,2024,Merit-Based Admissions,White,3,2,4,2,2
106,2024,Merit-Based Admissions,Asian,3,4,4,2,4
107,2024,Merit-Based Admissions,White,3,1,4,4,4
108,2024,Merit-Based Admissions,White,3,2,4,2,2
109,2024,Merit-Based Admissions,Asian,4,4,5,3,3
110,2024,Merit-Based Admissions,Other,4,4,4,4,2
111,2024,Merit-Based Admissions,Asian,3,4,4,4,1
112,2024,Merit-Based Admissions,White,4,5,1,3,4
113,2024,Merit-Based Admissions,Hispanic,3,5,3,1,3
114,2024,Merit-Based Admissions,White,3,1,4,4,2
115,2024,Merit-Based Admissions,Asian,4,4,5,4,2
116,2024,Merit-Based Admissions,White,3,3,4,3,3
117,2024,Merit-Based Admissions,Hispanic,4,5,3,5,1
118,2024,Merit-Based Admissions,White,3,1,5,5,3
119,2024,Merit-Based Admissions,White,5,5,4,3,5
120,2024,Merit-Based Admissions,Hispanic,3,3,5,4,1
121,2024,Merit-Based Admissions,White,3,2,4,1,4
122,2024,Merit-Based Admissions,White,3,3,4,2,2
123,2024,Merit-Based Admissions,Asian,4,5,3,3,3
124,2024,Merit-Based Admissions,White,3,1,3,1,5
125,2024,Merit-Based Admissions,White,3,2,2,4,4
126,2024,Merit-Based Admissions,White,4,4,5,2,3
127,2024,Merit-Based Admissions,Asian,4,5,5,3,5
128,2024,Merit-Based Admissions,White,5,4,4,3,5
129,2024,Merit-Based Admissions,Asian,4,5,4,3,5
130,2024,Merit-Based Admissions,White,3,1,4,4,3
131,2024,Merit-Based Admissions,White,5,5,5,3,4
132,2024,Merit-Based Admissions,White,4,3,4,4,5
133,2024,Merit-Based Admissions,Asian,4,5,2,3,5
134,2024,Merit-Based Admissions,Hispanic,2,2,4,2,1
135,2024,Merit-Based Admissions,White,3,3,4,1,3
136,2024,Merit-Based Admissions,White,5,4,3,5,5
137,2024,Merit-Based Admissions,White,3,2,3,3,4
138,2024,Merit-Based Admissions,Asian,4,5,2,4,3
139,2024,Merit-Based Admissions,White,4,5,4,5,1
140,2024,Merit-Based Admissions,Asian,3,5,3,3,3
141,2024,Merit-Based Admissions,White,3,4,3,3,3
142,2024,Merit-Based Admissions,White,2,1,3,1,4
143,2024,Merit-Based Admissions,White,2,1,2,1,4
144,2024,Merit-Based Admissions,White,3,3,3,4,3
145,2024,Merit-Based Admissions,Asian,3,5,2,2,3
146,2024,Merit-Based Admissions,White,4,5,5,4,1
147,2024,Merit-Based Admissions,Black,4,4,3,3,5
148,2024,Merit-Based Admissions,White,4,2,5,5,2
149,2024,Merit-Based Admissions,White,4,2,3,4,5
150,2024,Merit-Based Admissions,White,5,3,5,4,5
151,2024,Merit-Based Admissions,Asian,3,4,4,3,3
152,2024,Merit-Based Admissions,Asian,4,5,5,3,5
153,2024,Merit-Based Admissions,White,5,4,4,3,5
154,2024,Merit-Based Admissions,Asian,4,3,5,2,5
155,2024,Merit-Based Admissions,Hispanic,3,4,3,3,2
156,2024,Merit-Based Admissions,White,4,4,3,2,5
157,2024,Merit-Based Admissions,White,3,4,4,3,3
158,2024,Merit-Based Admissions,Asian,4,5,5,3,2
159,2024,Merit-Based Admissions,White,3,1,5,4,4
160,2024,Merit-Based Admissions,White,4,5,5,2,3
161,2024,Merit-Based Admissions,White,4,4,4,3,5
162,2024,Merit-Based Admissions,White,4,5,5,3,5
163,2024,Merit-Based Admissions,White,2,3,3,3,1
164,2024,Merit-Based Admissions,Asian,4,3,3,3,5
165,2024,Merit-Based Admissions,Asian,4,5,1,3,5
166,2024,Merit-Based Admissions,White,4,5,2,3,3
167,2024,Merit-Based Admissions,White,5,5,4,4,5
168,2024,Merit-Based Admissions,Black,4,4,5,4,5
169,2024,Merit-Based Admissions,Asian,3,1,4,3,4
170,2024,Merit-Based Admissions,White,3,1,5,3,4
171,2024,Merit-Based Admissions,White,3,5,4,1,1
172,2024,Merit-Based Admissions,Asian,2,2,4,2,1
173,2024,Merit-Based Admissions,Asian,3,2,4,5,1
174,2024,Merit-Based Admissions,White,4,4,2,4,4
175,2024,Merit-Based Admissions,White,4,3,5,3,3
176,2024,Merit-Based Admissions,Hispanic,5,5,5,4,5
177,2024,Merit-Based Admissions,White,4,5,5,2,4
178,2024,Merit-Based Admissions,White,4,5,5,3,3
179,2024,Merit-Based Admissions,Asian,4,5,5,4,3
180,2024,Merit-Based Admissions,Asian,4,5,4,2,3
181,2024,Merit-Based Admissions,White,4,4,5,4,3
182,2024,Merit-Based Admissions,Hispanic,3,5,4,2,2
183,2024,Merit-Based Admissions,White,3,4,4,4,3
184,2024,Merit-Based Admissions,Asian,3,5,5,3,1
185,2024,Merit-Based Admissions,White,3,5,2,2,4
186,2024,Merit-Based Admissions,White,4,2,3,3,5
187,2024,Merit-Based Admissions,Asian,3,2,3,2,5
188,2024,Merit-Based Admissions,Asian,3,5,4,3,1
189,2024,Merit-Based Admissions,White,2,3,3,3,2
190,2024,Merit-Based Admissions,White,2,2,4,4,1
191,2024,Merit-Based Admissions,Hispanic,3,2,4,2,4
192,2024,Merit-Based Admissions,Asian,4,5,4,1,4
193,2024,Merit-Based Admissions,Asian,5,3,4,3,5
194,2024,Merit-Based Admissions,Hispanic,4,5,5,2,2
195,2024,Merit-Based Admissions,Hispanic,3,1,3,3,5
196,2024,Merit-Based Admissions,Asian,2,1,2,2,3
197,2024,Merit-Based Admissions,White,3,4,4,1,3
198,2024,Merit-Based Admissions,White,5,5,4,4,5
199,2024,Merit-Based Admissions,Asian,3,3,3,4,3
200,2024,Merit-Based Admissions,White,4,4,5,4,5
201,2024,Merit-Based Admissions,Hispanic,2,3,2,2,2
202,2024,Merit-Based Admissions,Black,3,2,3,4,4
203,2024,Merit-Based Admissions,Asian,4,2,4,3,5
204,2024,Merit-Based Admissions,Asian,3,5,3,1,3
205,2024,Merit-Based Admissions,White,3,3,5,2,3
206,2024,Merit-Based Admissions,Hispanic,4,5,5,3,3
207,2024,Merit-Based Admissions,Asian,3,3,2,4,5
208,2024,Merit-Based Admissions,Asian,2,1,4,3,2
209,2024,Merit-Based Admissions,White,3,5,3,4,1
210,2024,Merit-Based Admissions,White,3,3,5,3,3
211,2024,Merit-Based Admissions,White,2,1,2,3,3
212,2024,Merit-Based Admissions,White,4,4,4,2,4
213,2024,Merit-Based Admissions,White,4,4,3,4,5
214,2024,Merit-Based Admissions,Asian,4,5,3,4,3
215,2024,Merit-Based Admissions,White,5,5,4,3,5
216,2024,Merit-Based Admissions,White,4,4,5,3,4
217,2024,Merit-Based Admissions,Asian,4,4,5,4,3
218,2024,Merit-Based Admissions,Asian,4,3,4,3,4
219,2024,Merit-Based Admissions,White,3,3,2,3,3
220,2024,Merit-Based Admissions,Asian,5,5,5,2,5
221,2024,Merit-Based Admissions,White,3,5,3,3,1
222,2024,Merit-Based Admissions,White,5,5,5,3,3
223,2024,Merit-Based Admissions,Black,3,5,4,2,3
224,2024,Merit-Based Admissions,Hispanic,3,4,3,3,2
225,2024,Merit-Based Admissions,White,4,4,5,4,5
226,2024,Merit-Based Admissions,White,3,4,2,3,4
227,2024,Merit-Based Admissions,White,4,4,5,3,3
228,2024,Merit-Based Admissions,Asian,3,4,4,2,1
229,2024,Merit-Based Admissions,Asian,5,5,5,3,5
230,2024,Merit-Based Admissions,Hispanic,3,4,4,2,1
231,2024,Merit-Based Admissions,Asian,3,2,4,4,1
232,2024,Merit-Based Admissions,Asian,4,5,4,4,2
233,2024,Merit-Based Admissions,White,4,4,3,4,4
234,2024,Merit-Based Admissions,White,4,4,5,2,3
235,2024,Merit-Based Admissions,White,5,5,5,3,5
236,2024,Merit-Based Admissions,White,3,5,5,2,2
237,2024,Merit-Based Admissions,Asian,4,4,3,2,5
238,2024,Merit-Based Admissions,Hispanic,5,5,5,3,5
239,2024,Merit-Based Admissions,White,2,4,3,4,1
240,2024,Merit-Based Admissions,Asian,3,2,5,2,5
241,2024,Merit-Based Admissions,Asian,3,1,3,4,4
242,2024,Merit-Based Admissions,Hispanic,3,5,4,3,1
243,2024,Merit-Based Admissions,Hispanic,4,5,5,3,3
244,2024,Merit-Based Admissions,White,3,2,3,4,3
245,2024,Merit-Based Admissions,Asian,3,4,3,5,2
246,2024,Merit-Based Admissions,White,4,3,3,5,3
247,2024,Merit-Based Admissions,Asian,5,4,4,5,5
248,2024,Merit-Based Admissions,Asian,3,4,5,2,1
249,2024,Merit-Based Admissions,White,3,2,5,5,1
250,2024,Merit-Based Admissions,Asian,4,3,5,4,4
251,2024,Merit-Based Admissions,White,3,4,3,1,3
252,2024,Merit-Based Admissions,White,3,3,3,2,4
253,2024,Merit-Based Admissions,Asian,3,3,5,4,2
254,2024,Merit-Based Admissions,White,3,1,3,2,5
255,2024,Merit-Based Admissions,White,3,4,4,2,2
256,2024,Merit-Based Admissions,White,4,4,4,3,4
257,2024,Merit-Based Admissions,White,5,5,5,2,5
258,2024,Merit-Based Admissions,Asian,5,4,5,3,5
259,2024,Merit-Based Admissions,Asian,3,3,5,4,1
260,2024,Merit-Based Admissions,White,4,5,4,4,2
261,2024,Merit-Based Admissions,Asian,4,2,5,2,5
262,2024,Merit-Based Admissions,White,3,4,1,2,3
263,2024,Merit-Based Admissions,Asian,4,5,3,4,4
264,2024,Merit-Based Admissions,Hispanic,3,5,3,2,2
265,2024,Merit-Based Admissions,White,4,4,5,3,4
266,2024,Merit-Based Admissions,Hispanic,5,4,5,3,5
267,2024,Merit-Based Admissions,White,4,5,4,3,5
268,2024,Merit-Based Admissions,White,3,4,5,2,1
269,2024,Merit-Based Admissions,White,3,5,3,2,4
270,2024,Merit-Based Admissions,Asian,4,5,1,3,5
271,2024,Merit-Based Admissions,White,4,4,5,3,4
272,2024,Merit-Based Admissions,Asian,3,1,4,3,5
273,2024,Merit-Based Admissions,Asian,4,5,3,3,5
274,2024,Merit-Based Admissions,White,4,5,4,1,4
275,2024,Merit-Based Admissions,Hispanic,4,5,3,2,5
