student_id,year,policy,demographic,overall_satisfaction,academic_satisfaction,social_satisfaction,diversity_satisfaction,career_prep_satisfaction
1,2020,Race-Conscious Admissions,Asian,2,3,1,3,1
2,2020,Race-Conscious Admissions,Black,2,2,1,3,2
3,2020,Race-Conscious Admissions,Asian,4,5,2,2,5
4,2020,Race-Conscious Admissions,Asian,3,1,2,4,4
5,2020,Race-Conscious Admissions,White,2,1,2,3,1
6,2020,Race-Conscious Admissions,White,4,2,4,5,5
7,2020,Race-Conscious Admissions,White,3,5,2,4,1
8,2020,Race-Conscious Admissions,White,2,2,1,2,4
9,2020,Race-Conscious Admissions,Black,1,3,1,2,1
10,2020,Race-Conscious Admissions,Asian,2,3,3,4,1
11,2020,Race-Conscious Admissions,White,5,4,5,4,5
12,2020,Race-Conscious Admissions,Hispanic,2,1,3,5,1
13,2020,Race-Conscious Admissions,Hispanic,3,3,2,4,3
14,2020,Race-Conscious Admissions,White,2,2,2,4,2
15,2020,Race-Conscious Admissions,White,2,4,1,2,2
16,2020,Race-Conscious Admissions,Asian,2,3,1,5,1
17,2020,Race-Conscious Admissions,White,2,1,2,5,1
18,2020,Race-Conscious Admissions,White,3,4,1,4,4
19,2020,Race-Conscious Admissions,White,4,3,3,5,5
20,2020,Race-Conscious Admissions,White,2,1,3,4,2
21,2020,Race-Conscious Admissions,Black,4,1,5,3,5
22,2020,Race-Conscious Admissions,Asian,3,4,2,4,2
23,2020,Race-Conscious Admissions,Hispanic,4,5,1,3,5
24,2020,Race-Conscious Admissions,Asian,2,2,3,4,1
25,2020,Race-Conscious Admissions,White,3,5,1,3,3
26,2020,Race-Conscious Admissions,White,3,2,5,3,1
27,2020,Race-Conscious Admissions,Asian,4,4,1,5,3
28,2020,Race-Conscious Admissions,Asian,2,1,1,5,1
29,2020,Race-Conscious Admissions,Asian,3,4,3,4,1
30,2020,Race-Conscious Admissions,Asian,2,3,3,4,1
31,2020,Race-Conscious Admissions,White,2,5,1,3,3
32,2020,Race-Conscious Admissions,Black,2,1,3,5,1
33,2020,Race-Conscious Admissions,Black,3,5,2,4,1
34,2020,Race-Conscious Admissions,White,1,1,1,3,1
35,2020,Race-Conscious Admissions,White,4,5,3,3,2
36,2020,Race-Conscious Admissions,White,2,3,2,4,1
37,2020,Race-Conscious Admissions,White,3,2,4,4,2
38,2020,Race-Conscious Admissions,White,4,5,3,4,3
39,2020,Race-Conscious Admissions,Black,3,5,3,3,1
40,2020,Race-Conscious Admissions,Hispanic,3,3,1,4,4
41,2020,Race-Conscious Admissions,Black,2,1,1,2,4
42,2020,Race-Conscious Admissions,Black,2,3,1,5,1
43,2020,Race-Conscious Admissions,Asian,4,5,2,3,5
44,2020,Race-Conscious Admissions,White,3,2,4,4,2
45,2020,Race-Conscious Admissions,Other,2,3,3,3,1
46,2020,Race-Conscious Admissions,White,2,4,3,3,1
47,2020,Race-Conscious Admissions,Hispanic,2,1,2,3,3
48,2020,Race-Conscious Admissions,White,3,2,2,3,4
49,2020,Race-Conscious Admissions,White,2,4,1,2,1
50,2020,Race-Conscious Admissions,Black,2,1,2,3,3
51,2020,Race-Conscious Admissions,White,3,2,5,4,3
52,2020,Race-Conscious Admissions,White,4,3,4,3,5
53,2020,Race-Conscious Admissions,Black,4,5,2,2,4
54,2020,Race-Conscious Admissions,Hispanic,3,5,1,4,4
55,2020,Race-Conscious Admissions,Asian,2,2,1,5,3
56,2020,Race-Conscious Admissions,Hispanic,3,5,1,4,2
57,2020,Race-Conscious Admissions,Other,2,2,2,3,3
58,2020,Race-Conscious Admissions,White,1,1,1,3,2
59,2020,Race-Conscious Admissions,White,4,4,3,4,5
60,2020,Race-Conscious Admissions,White,4,4,5,4,2
61,2020,Race-Conscious Admissions,White,3,5,3,2,3
62,2020,Race-Conscious Admissions,White,3,2,3,4,2
63,2020,Race-Conscious Admissions,White,3,5,1,3,5
64,2020,Race-Conscious Admissions,Asian,1,2,1,3,1
65,2020,Race-Conscious Admissions,White,2,1,2,2,5
66,2020,Race-Conscious Admissions,Hispanic,4,5,4,3,2
67,2020,Race-Conscious Admissions,Hispanic,2,1,1,5,2
68,2020,Race-Conscious Admissions,Asian,4,4,3,3,5
69,2020,Race-Conscious Admissions,White,3,5,1,3,4
70,2020,Race-Conscious Admissions,Other,3,1,4,3,4
71,2020,Race-Conscious Admissions,White,3,1,2,2,5
72,2020,Race-Conscious Admissions,Black,2,3,1,1,5
73,2020,Race-Conscious Admissions,White,3,3,3,3,2
74,2020,Race-Conscious Admissions,White,2,1,2,3,2
75,2020,Race-Conscious Admissions,Asian,4,5,2,5,3
76,2020,Race-Conscious Admissions,White,3,4,3,5,2
77,2020,Race-Conscious Admissions,Asian,3,2,1,5,2
78,2020,Race-Conscious Admissions,White,4,4,4,3,4
79,2020,Race-Conscious Admissions,White,2,2,1,2,2
80,2020,Race-Conscious Admissions,Hispanic,3,5,2,3,2
81,2020,Race-Conscious Admissions,White,3,4,3,5,1
82,2020,Race-Conscious Admissions,Asian,2,2,2,3,1
83,2020,Race-Conscious Admissions,White,3,2,2,1,5
84,2020,Race-Conscious Admissions,White,2,3,1,3,4
85,2020,Race-Conscious Admissions,Asian,4,5,3,4,4
